Constraints(%),algorithm,NMI,RI,cost,runtime
2%,greedy,1.34E-04,0.5006455,353.3582,3.68E+08
2%,greedy,0.018454786,0.53199387,353.3582,3.72E+08
2%,greedy,0.01731868,0.5004587,353.3582,3.99E+08
2%,greedy,0.13696323,0.6712369,353.3582,3.65E+08
2%,greedy,0.0843865,0.6009756,353.3582,3.85E+08
2%,greedy,4.07E-06,0.50000155,353.3582,3.70E+08
2%,greedy,0.11188998,0.62816966,353.3582,3.61E+08
2%,greedy,0.656023,0.8902393,357.35977,3.65E+08
2%,greedy,0.11224662,0.65902096,353.3582,3.62E+08
2%,greedy,0.023983968,0.5000438,355.03802,3.95E+08
2%,greedy,0.10003885,0.6477668,353.3582,3.65E+08
2%,greedy,0.19919127,0.5479335,353.3582,3.72E+08
2%,greedy,0.335026,0.63908666,353.3582,3.70E+08
2%,greedy,0.103224754,0.639828,353.3582,3.65E+08
2%,greedy,0.025142835,0.5070568,439.94318,3.82E+08
2%,greedy,0.13696323,0.6712369,353.3582,3.63E+08
2%,greedy,0.020607896,0.50019616,371.09164,3.85E+08
2%,greedy,0.21140988,0.73638403,353.3582,3.63E+08
2%,greedy,0.016305227,0.5052589,381.3476,3.66E+08
2%,greedy,0.20681913,0.7289408,353.3582,3.62E+08
2%,greedy,0.11565394,0.6324317,353.3582,3.67E+08
2%,greedy,9.74E-05,0.5182815,353.3582,3.90E+08
2%,greedy,2.66E-04,0.52881503,363.52304,3.71E+08
2%,greedy,8.41E-06,0.5001578,353.3582,3.62E+08
2%,greedy,0.21519004,0.7323832,353.3582,3.61E+08
2%,greedy,0.11989001,0.65476024,353.3582,3.56E+08
2%,greedy,0.11879096,0.6475539,353.3582,3.92E+08
2%,greedy,0.020794477,0.5004856,260.40738,2.75E+08
2%,greedy,0.044075664,0.50743705,367.5976,2.53E+08
2%,greedy,0.040497903,0.50093085,262.7356,2.78E+08
2%,greedy,0.0785882,0.6302857,311.31012,3.53E+08
2%,greedy,0.020533348,0.5028429,281.31656,2.58E+08
2%,greedy,0.5695583,0.8262959,311.31012,3.57E+08
2%,greedy,0.015966868,0.5079164,332.1054,2.55E+08
2%,greedy,0.3139034,0.63455284,261.4995,2.51E+08
2%,greedy,0.07554681,0.5082338,311.31012,3.54E+08
2%,greedy,0.035479963,0.5000313,276.23178,2.55E+08
2%,greedy,0.08361227,0.50935024,422.04858,2.53E+08
2%,greedy,0.019795593,0.50165445,260.40738,2.57E+08
2%,greedy,0.16675912,0.51066,269.54407,2.54E+08
2%,greedy,0.055079777,0.5053202,261.5951,2.53E+08
2%,greedy,0.077037215,0.6338847,311.31012,3.51E+08
2%,greedy,0.10541234,0.6439758,311.31012,3.50E+08
2%,greedy,0.008961573,0.6452443,441.67294,3.39E+08
2%,greedy,0.029130891,0.50008726,262.45953,2.48E+08
2%,greedy,0.058207024,0.50623924,261.68875,2.49E+08
2%,greedy,0.13443616,0.6730806,319.44482,3.56E+08
2%,greedy,0.033102475,0.59970325,311.31012,3.42E+08
2%,greedy,0.47704095,0.7602106,311.31012,3.53E+08
2%,greedy,0.083838835,0.6621662,328.5742,3.82E+08
2%,greedy,0.009820852,0.5005127,274.00366,2.53E+08
2%,greedy,0.07814304,0.5055491,374.73456,2.51E+08
